datetime,name,serialnumber,producttype,productindentifier,vendoridentifier,antennapower,systemversion,batterystatus,locationpositiontype,locationlatitude,locationlongitude,locationtimestamp,locationverticalaccuracy,locationhorizontalaccuracy,locationfloorlevel,locationaltitude,locationisinaccurate,locationisold,locationfinished,addresslabel,addressstreetaddress,addresscountrycode,addressstatecode,addressadministrativearea,addressstreetname,addresslocality,addresscountry,addressareaofinteresta,addressareaofinterestb
2023-11-17  13:52:35,"Sandero","HW1KTUZ7P0GV","b389",21760,76,4,"2.0.36",1,"crowdsourced",40.39452933330631,-3.6880399502380916,1700221039000,-1,24.689935251788757,0,-1,"false","false","true","Calle del Párroco Eusebio Cuenca, 58","58","ES","","Madrid","Calle del Párroco Eusebio Cuenca","Madrid","España","",""
2023-11-17  13:52:36,"Panda","HW1KTUJEP0GV","b389",21760,76,4,"2.0.36",1,"crowdsourced",40.39741673805924,-3.6937911341950342,1700221079000,-1,25.138502086793828,0,-1,"false","false","true","Calle de Tomás Bretón, 19","19","ES","","Madrid","Calle de Tomás Bretón","Madrid","España","",""
